state,district,murder,no_of_districts
RAJASTHAN,"KOTA RURAL",20,1
KARNATAKA,DAVANAGERE,19,1
KARNATAKA,"UTTAR KANNADA",19,1
KERALA,ALAPUZHA,19,1
"MADHYA PRADESH",KHANDWA,19,1
"MADHYA PRADESH",SHEOPUR,19,1
MAHARASHTRA,RATNAGIRI,19,1
RAJASTHAN,"SAWAI MADHOPUR",19,1
"UTTAR PRADESH",SHRAWASTI,19,1
UTTARAKHAND,ALMORA,19,1
CHANDIGARH,CHANDIGARH,19,1
CHANDIGARH,TOTAL,19,1
"MADHYA PRADESH",BURHANPUR,19,1
"MADHYA PRADESH",DINDORI,19,1
"MADHYA PRADESH",JHABUA,19,1
ODISHA,KHURDA,19,1
"UTTAR PRADESH",SIDHARTHNAGAR,19,1
GUJARAT,"AHMEDABAD RURAL",19,1
KERALA,IDUKKI,19,1
KERALA,"KOZHIKODE RURAL",19,1
TRIPURA,SOUTH,19,1
"UTTAR PRADESH",DEORIA,19,1
GUJARAT,TAPI,19,1
KERALA,PATHANAMTHITTA,19,1
MANIPUR,"IMPHAL EAST",19,1
ODISHA,"DCP CTC",19,1
PUNJAB,BARNALA,19,1
PUNJAB,"SAS NGR",19,1
TRIPURA,DHALAI,19,1
GUJARAT,ANAND,19,1
RAJASTHAN,SIROHI,19,1
"UTTAR PRADESH",CHANDOLI,19,1
GUJARAT,"KUTCH (EAST(G))",19,1
GUJARAT,NAVSARI,19,1
KARNATAKA,HAVERI,19,1
KARNATAKA,RAILWAYS,19,1
ODISHA,NUAPADA,19,1
PUNJAB,BATALA,19,1
PUNJAB,"SBS NAGAR",19,1
"TAMIL NADU",ARIYALUR,19,1
"WEST BENGAL","SEALDAH G.R.P.",19,1
CHHATTISGARH,KAWARDHA,19,1
"MADHYA PRADESH",UMARIYA,19,1
ODISHA,NOWRANGPUR,19,1
PUNJAB,MUKTSAR,19,1
RAJASTHAN,TONK,19,1
CHHATTISGARH,BIZAPUR,19,1
"MADHYA PRADESH",NEEMUCH,19,1
ODISHA,KENDRAPARA,19,1
RAJASTHAN,JALORE,19,1
RAJASTHAN,KARAULI,19,1
"ANDHRA PRADESH",VISAKHAPATNAM,19,1
ASSAM,N.C.HILLS,19,1
"UTTAR PRADESH",G.R.P.,19,1
"UTTAR PRADESH",SONBHADRA,19,1
ASSAM,MORIGAON,19,1
GUJARAT,PATAN,19,1
MAHARASHTRA,"AMRAVATI COMMR.",19,1
MAHARASHTRA,"NASIK COMMR.",19,1
MANIPUR,BISHNUPUR,19,1
PUNJAB,FARIDKOT,19,1
ASSAM,BONGAIGAON,19,1
JHARKHAND,JAMTARA,19,1
NAGALAND,KOHIMA,19,1
RAJASTHAN,CHURU,19,1
"TAMIL NADU","COIMBATORE URBAN",19,1
PUDUCHERRY,PONDICHERRY,19,1
PUDUCHERRY,TOTAL,19,1
"JAMMU & KASHMIR",AWANTIPORA,19,1
"JAMMU & KASHMIR",REASI,19,1
KERALA,MALAPPURAM,19,1
RAJASTHAN,"JAIPUR SOUTH",19,1
"TAMIL NADU",SIVAGANGAI,19,1
BIHAR,ARWAL,19,1
GUJARAT,GANDHINAGAR,19,1
BIHAR,SHEOHAR,18,1
CHHATTISGARH,MAHASAMUND,18,1
"HIMACHAL PRADESH",MANDI,18,1
KERALA,KASARGOD,18,1
PUNJAB,BATALA,18,1
UTTARAKHAND,ALMORA,18,1
"WEST BENGAL","HOWRAH G.R.P.",18,1
BIHAR,"MUZAFFARPUR RLY.",18,1
CHHATTISGARH,KABIRDHAM,18,1
GOA,"NORTH GOA",18,1
KARNATAKA,HAVERI,18,1
"MADHYA PRADESH",HARDA,18,1
MAHARASHTRA,SINDHUDURG,18,1
ODISHA,RAYAGADA,18,1
PUNJAB,MUKTSAR,18,1
"UTTAR PRADESH",LALITPUR,18,1
"WEST BENGAL",HOWRAH,18,1
HARYANA,KAITHAL,18,1
KERALA,CBCID,18,1
KERALA,MALAPPURAM,18,1
PUNJAB,KHANNA,18,1
"TAMIL NADU",NILGIRIS,18,1
"UTTAR PRADESH",ST.RAVIDASNAGAR,18,1
"WEST BENGAL","HOWRAH CITY",18,1
"HIMACHAL PRADESH",KANGRA,18,1
"JAMMU & KASHMIR",AWANTIPORA,18,1
KERALA,KOTTAYAM,18,1
"MADHYA PRADESH",DINDORI,18,1
"MADHYA PRADESH",UMARIYA,18,1
RAJASTHAN,"SAWAI MADHOPUR",18,1
"TAMIL NADU","TRICHY URBAN",18,1
CHANDIGARH,CHANDIGARH,18,1
CHANDIGARH,TOTAL,18,1
ASSAM,N.C.HILLS,18,1
"MADHYA PRADESH",MANDSAUR,18,1
MEGHALAYA,"GARO HILLS EAST",18,1
PUNJAB,FARIDKOT,18,1
PUNJAB,"NAWAN SHAHR",18,1
RAJASTHAN,CHURU,18,1
RAJASTHAN,"JAIPUR EAST",18,1
"TAMIL NADU","THIRUNELVELI URBAN",18,1
GOA,"SOUTH GOA",18,1
HARYANA,REWARI,18,1
MIZORAM,AIZAWL,18,1
"TAMIL NADU",KARUR,18,1
TRIPURA,DHALAI,18,1
"JAMMU & KASHMIR",BARAMULLA,18,1
"MADHYA PRADESH","ASHOK NAGAR",18,1
MAHARASHTRA,"AMRAVATI COMMR.",18,1
MAHARASHTRA,RATNAGIRI,18,1
MANIPUR,CHURACHANDPUR,18,1
GUJARAT,NAVSARI,18,1
HARYANA,MEWAT,18,1
"JAMMU & KASHMIR",DODA,18,1
MEGHALAYA,"KHASI HILLS WEST",18,1
PUNJAB,"FATEHGARH SAHIB",18,1
MANIPUR,"IMPHAL WEST",18,1
MANIPUR,THOUBAL,18,1
ODISHA,DEOGARH,18,1
RAJASTHAN,DUNGARPUR,18,1
RAJASTHAN,"JAIPUR SOUTH",18,1
RAJASTHAN,"KOTA RURAL",18,1
UTTARAKHAND,NAINITAL,18,1
"MADHYA PRADESH",BURHANPUR,18,1
PUNJAB,"SBS NAGAR",18,1
"UTTAR PRADESH",SONBHADRA,18,1
CHHATTISGARH,MUNGELI,18,1
GUJARAT,AMRELI,18,1
GUJARAT,PORBANDAR,18,1
KARNATAKA,CHAMARAJNAGAR,18,1
KARNATAKA,"DHARWAD COMMR.",18,1
KERALA,"THRISSUR RURAL",18,1
ODISHA,BOUDH,18,1
PUNJAB,BARNALA,18,1
RAJASTHAN,BUNDI,18,1
TRIPURA,GOMATI,18,1
KARNATAKA,GADAG,17,1
KARNATAKA,HAVERI,17,1
"MADHYA PRADESH",HARDA,17,1
MAHARASHTRA,SINDHUDURG,17,1
NAGALAND,MOKOKCHUNG,17,1
"UTTAR PRADESH",CHANDOLI,17,1
HARYANA,PANCHKULA,17,1
KERALA,PATHANAMTHITTA,17,1
MAHARASHTRA,"SOLAPUR COMMR.",17,1
RAJASTHAN,RAJSAMAND,17,1
CHANDIGARH,CHANDIGARH,17,1
CHANDIGARH,TOTAL,17,1
CHHATTISGARH,NARAYANPUR,17,1
"JAMMU & KASHMIR",POONCH,17,1
RAJASTHAN,"JODHPUR CITY",17,1
SIKKIM,TOTAL,17,1
"UTTAR PRADESH",MIRZAPUR,17,1
BIHAR,"KATIHAR RLY.",17,1
MANIPUR,"IMPHAL EAST",17,1
"UTTAR PRADESH","SANT KABIRNAGAR",17,1
ASSAM,BONGAIGAON,17,1
CHHATTISGARH,DHAMTARI,17,1
HARYANA,FATEHABAD,17,1
JHARKHAND,KODERMA,17,1
KARNATAKA,"UTTAR KANNADA",17,1
MAHARASHTRA,RATNAGIRI,17,1
ODISHA,BALASORE,17,1
PUNJAB,"NAWAN SHAHR",17,1
RAJASTHAN,JALORE,17,1
ODISHA,JHARSUGUDA,17,1
UTTARAKHAND,ALMORA,17,1
"A & N ISLANDS",TOTAL,17,1
GUJARAT,PATAN,17,1
JHARKHAND,JAMTARA,17,1
MANIPUR,CHANDEL,17,1
ODISHA,NOWRANGPUR,17,1
PUNJAB,MANSA,17,1
ASSAM,DHEMAJI,17,1
ASSAM,G.R.P.,17,1
HARYANA,REWARI,17,1
"JAMMU & KASHMIR",KATHUA,17,1
ODISHA,GAJAPATI,17,1
"TAMIL NADU","COIMBATORE URBAN",17,1
"UTTAR PRADESH",SHRAWASTI,17,1
ASSAM,CHIRANG,17,1
ASSAM,NALBARI,17,1
BIHAR,KISHANGANJ,17,1
BIHAR,SAHARSA,17,1
MEGHALAYA,RI-BHOI,17,1
ODISHA,BERHAMPUR,17,1
"TAMIL NADU","SALEM URBAN",17,1
"UTTAR PRADESH",ST.RAVIDASNAGAR,17,1
UTTARAKHAND,"PAURI GARHWAL",17,1
RAJASTHAN,SIROHI,17,1
RAJASTHAN,TONK,17,1
"ARUNACHAL PRADESH",LOHIT,17,1
MEGHALAYA,"GARO HILLS EAST",16,1
"TAMIL NADU",NILGIRIS,16,1
"TAMIL NADU",THENI,16,1
CHHATTISGARH,DHAMTARI,16,1
HARYANA,FATEHABAD,16,1
ODISHA,JAGATSINGHPUR,16,1
HARYANA,REWARI,16,1
PUNJAB,BARNALA,16,1
RAJASTHAN,BARMER,16,1
"A & N ISLANDS",ANDAMAN,16,1
PUNJAB,MUKTSAR,16,1
SIKKIM,TOTAL,16,1
"TAMIL NADU","MADURAI URBAN",16,1
"UTTAR PRADESH",LALITPUR,16,1
"WEST BENGAL","DAKSHIN DINAJPUR",16,1
"DELHI UT",CENTRAL,16,1
"DELHI UT",G.R.P.(RLY),16,1
BIHAR,SHEOHAR,16,1
GUJARAT,NAVSARI,16,1
HARYANA,MEWAT,16,1
"HIMACHAL PRADESH",SHIMLA,16,1
"JAMMU & KASHMIR",KUPWARA,16,1
JHARKHAND,JAMTARA,16,1
KERALA,CBCID,16,1
"MADHYA PRADESH",HARDA,16,1
MAHARASHTRA,"MUMBAI RLY.",16,1
ODISHA,NOWRANGPUR,16,1
UTTARAKHAND,"PAURI GARHWAL",16,1
CHHATTISGARH,MAHASAMUND,16,1
"HIMACHAL PRADESH",SIRMAUR,16,1
MANIPUR,CHANDEL,16,1
ODISHA,BERHAMPUR,16,1
RAJASTHAN,"JODHPUR CITY",16,1
"TAMIL NADU","THIRUNELVELI URBAN",16,1
BIHAR,"MUZAFFARPUR RLY.",16,1
"HIMACHAL PRADESH",SOLAN,16,1
"JAMMU & KASHMIR",REASI,16,1
MEGHALAYA,"GARO HILLS WEST",16,1
PUNJAB,"LUDHIANA RURAL",16,1
RAJASTHAN,CHURU,16,1
BIHAR,SHEIKHPURA,16,1
MAHARASHTRA,"AMRAVATI COMMR.",16,1
RAJASTHAN,TONK,16,1
"TAMIL NADU","TRICHY URBAN",16,1
"UTTAR PRADESH",MAHOBA,16,1
GUJARAT,GANDHINAGAR,16,1
KERALA,"KOZHIKODE RURAL",16,1
ODISHA,KHURDA,16,1
ASSAM,N.C.HILLS,16,1
GUJARAT,PATAN,16,1
PUNJAB,LUDHIANA,16,1
RAJASTHAN,"JAIPUR SOUTH",16,1
KERALA,MALAPPURAM,16,1
MANIPUR,THOUBAL,16,1
"WEST BENGAL","HOWRAH G.R.P.",16,1
"MADHYA PRADESH",DINDORI,15,1
"A & N ISLANDS","A and N ISLANDS",15,1
"HIMACHAL PRADESH",KULLU,15,1
"HIMACHAL PRADESH",UNA,15,1
KERALA,"KOZHIKODE RURAL",15,1
MEGHALAYA,RI-BHOI,15,1
NAGALAND,MOKOKCHUNG,15,1
RAJASTHAN,"JAIPUR EAST",15,1
RAJASTHAN,TONK,15,1
CHHATTISGARH,DHAMTARI,15,1
GUJARAT,TAPI,15,1
"JAMMU & KASHMIR",REASI,15,1
KERALA,PATHANAMTHITTA,15,1
MANIPUR,CHURACHANDPUR,15,1
MANIPUR,THOUBAL,15,1
"TAMIL NADU",NILGIRIS,15,1
"WEST BENGAL","SEALDAH G.R.P.",15,1
"A & N ISLANDS",ANDAMAN,15,1
ASSAM,MORIGAON,15,1
BIHAR,"MUZAFFARPUR RLY.",15,1
"JAMMU & KASHMIR",RAJOURI,15,1
"TAMIL NADU","TRICHY URBAN",15,1
"UTTAR PRADESH",SONBHADRA,15,1
JHARKHAND,JAMTARA,15,1
KARNATAKA,RAILWAYS,15,1
KERALA,"ERNAKULAM RURAL",15,1
MAHARASHTRA,"AMRAVATI COMMR.",15,1
MAHARASHTRA,RATNAGIRI,15,1
ASSAM,G.R.P.,15,1
ASSAM,N.C.HILLS,15,1
CHHATTISGARH,BALOD,15,1
HARYANA,"AMBALA URBAN",15,1
HARYANA,PANCHKULA,15,1
"HIMACHAL PRADESH",MANDI,15,1
PUNJAB,MANSA,15,1
RAJASTHAN,"JODHPUR WEST",15,1
TRIPURA,SOUTH,15,1
"WEST BENGAL","BDN CP",15,1
ASSAM,DHEMAJI,15,1
GUJARAT,PORBANDAR,15,1
GUJARAT,W.RLY,15,1
PUNJAB,BARNALA,15,1
CHANDIGARH,CHANDIGARH,15,1
CHANDIGARH,TOTAL,15,1
"JAMMU & KASHMIR",KATHUA,15,1
KARNATAKA,GADAG,15,1
KERALA,CBCID,15,1
ODISHA,NUAPADA,15,1
"MADHYA PRADESH",SHEOPUR,15,1
PUNJAB,MUKTSAR,15,1
PUNJAB,"NAWAN SHAHR",15,1
"UTTAR PRADESH",SHRAWASTI,15,1
UTTARAKHAND,"PAURI GARHWAL",15,1
ASSAM,KAMRUP,15,1
"MADHYA PRADESH",HARDA,15,1
RAJASTHAN,BARMER,15,1
KARNATAKA,"DHARWAD COMMR.",15,1
KERALA,"ERNAKULAM COMMR.",15,1
RAJASTHAN,JALORE,15,1
"TAMIL NADU",SIVAGANGAI,15,1
KERALA,KASARGOD,15,1
MAHARASHTRA,"SOLAPUR COMMR.",15,1
MEGHALAYA,"GARO HILLS WEST",15,1
ODISHA,SONEPUR,15,1
RAJASTHAN,"JODHPUR CITY",15,1
GOA,"NORTH GOA",15,1
GOA,"SOUTH GOA",14,1
"HIMACHAL PRADESH",SHIMLA,14,1
"JAMMU & KASHMIR",UDHAMPUR,14,1
PUNJAB,"FATEHGARH SAHIB",14,1
ASSAM,MORIGAON,14,1
"HIMACHAL PRADESH",KULLU,14,1
KERALA,"KOZHIKODE COMMR.",14,1
MANIPUR,CHURACHANDPUR,14,1
MEGHALAYA,"GARO HILLS EAST",14,1
ODISHA,BOUDH,14,1
ODISHA,KALAHANDI,14,1
"TAMIL NADU",THIRUVARUR,14,1
MEGHALAYA,"KHASI HILLS WEST",14,1
ODISHA,NOWRANGPUR,14,1
ODISHA,ROURKELA,14,1
"WEST BENGAL","SEALDAH G.R.P.",14,1
GUJARAT,NAVSARI,14,1
"TAMIL NADU","THIRUNELVELI URBAN",14,1
CHHATTISGARH,KABIRDHAM,14,1
"HIMACHAL PRADESH",CHAMBA,14,1
MANIPUR,CHANDEL,14,1
NAGALAND,ZUNHEBOTO,14,1
"UTTAR PRADESH",BALRAMPUR,14,1
"HIMACHAL PRADESH",MANDI,14,1
"HIMACHAL PRADESH",UNA,14,1
JHARKHAND,JAMTARA,14,1
KERALA,"ERNAKULAM COMMR.",14,1
PUNJAB,G.R.P,14,1
RAJASTHAN,"JAIPUR EAST",14,1
"JAMMU & KASHMIR",KATHUA,14,1
MANIPUR,SENAPATI,14,1
ODISHA,"DCP CTC",14,1
RAJASTHAN,"JAIPUR NORTH",14,1
RAJASTHAN,"JODHPUR RURAL",14,1
"UTTAR PRADESH",G.R.P.,14,1
"MADHYA PRADESH",BURHANPUR,14,1
RAJASTHAN,"JAIPUR SOUTH",14,1
RAJASTHAN,"SAWAI MADHOPUR",14,1
"JAMMU & KASHMIR",BANDIPORA,14,1
KERALA,MALAPPURAM,14,1
"MADHYA PRADESH",UMARIYA,14,1
RAJASTHAN,RAJSAMAND,14,1
GUJARAT,NARMADA,14,1
"HIMACHAL PRADESH",SOLAN,14,1
"JAMMU & KASHMIR",SOPORE,14,1
KERALA,"KOLLAM COMMR.",14,1
"MADHYA PRADESH",SHEOPUR,14,1
ODISHA,DEOGARH,14,1
"TAMIL NADU",PERAMBALUR,14,1
"D & N HAVELI","D and N HAVELI",14,1
"D & N HAVELI",TOTAL,14,1
KARNATAKA,UDUPI,14,1
MANIPUR,"IMPHAL WEST",14,1
PUNJAB,"CP JALANDHAR",14,1
"JAMMU & KASHMIR",AWANTIPORA,13,1
KERALA,"TRIVANDRUM COMMR.",13,1
"MADHYA PRADESH",UMARIYA,13,1
RAJASTHAN,RAJSAMAND,13,1
"TAMIL NADU",NILGIRIS,13,1
JHARKHAND,"DHANBAD RLY.",13,1
KARNATAKA,K.G.F.,13,1
MANIPUR,CHANDEL,13,1
MEGHALAYA,"KHASI HILLS WEST",13,1
PUNJAB,BATALA,13,1
RAJASTHAN,"JODHPUR CITY",13,1
ASSAM,BONGAIGAON,13,1
JHARKHAND,JAMTARA,13,1
"WEST BENGAL","HOWRAH G.R.P.",13,1
"TAMIL NADU",PERAMBALUR,13,1
BIHAR,SHEOHAR,13,1
CHHATTISGARH,DHAMTARI,13,1
GUJARAT,TAPI,13,1
"HIMACHAL PRADESH",MANDI,13,1
KERALA,MALAPPURAM,13,1
PUNJAB,"FATEHGARH SAHIB",13,1
"UTTAR PRADESH",MAHOBA,13,1
"WEST BENGAL","SEALDAH G.R.P.",13,1
BIHAR,"KATIHAR RLY.",13,1
CHHATTISGARH,GARIYABAND,13,1
HARYANA,"AMBALA RURAL",13,1
"JAMMU & KASHMIR",JAMMU,13,1
"DELHI UT",GRP(RLY),13,1
ASSAM,G.R.P.,13,1
BIHAR,"MUZAFFARPUR RLY.",13,1
CHHATTISGARH,BALRAMPUR,13,1
"HIMACHAL PRADESH",CHAMBA,13,1
"MADHYA PRADESH",DINDORI,13,1
SIKKIM,EAST,13,1
"UTTAR PRADESH",SIDHARTHNAGAR,13,1
UTTARAKHAND,CHAMOLI,13,1
"A & N ISLANDS",TOTAL,13,1
"HIMACHAL PRADESH",UNA,13,1
SIKKIM,TOTAL,13,1
"HIMACHAL PRADESH",SOLAN,13,1
"MADHYA PRADESH",HARDA,13,1
ODISHA,BERHAMPUR,13,1
CHHATTISGARH,KABIRDHAM,13,1
CHHATTISGARH,NARAYANPUR,13,1
HARYANA,GRP,13,1
"HIMACHAL PRADESH",BILASPUR,13,1
"JAMMU & KASHMIR",GANDERBAL,13,1
"MADHYA PRADESH",SHEOPUR,13,1
PUNJAB,"NAWAN SHAHR",13,1
"MADHYA PRADESH",BURHANPUR,13,1
MEGHALAYA,RI-BHOI,13,1
HARYANA,PANCHKULA,12,1
MAHARASHTRA,"NAGPUR RLY.",12,1
NAGALAND,MOKOKCHUNG,12,1
NAGALAND,WOKHA,12,1
"TAMIL NADU","SALEM URBAN",12,1
BIHAR,SHEOHAR,12,1
CHHATTISGARH,KABIRDHAM,12,1
KERALA,KANNUR,12,1
"UTTAR PRADESH","AMBEDKAR NAGAR",12,1
"UTTAR PRADESH",LALITPUR,12,1
NAGALAND,KOHIMA,12,1
"ANDHRA PRADESH","GUNTAKAL RLY.",12,1
GUJARAT,W.RLY,12,1
HARYANA,MAHENDRAGARH,12,1
"HIMACHAL PRADESH",SIRMAUR,12,1
"JAMMU & KASHMIR",KATHUA,12,1
"JAMMU & KASHMIR",UDHAMPUR,12,1
ODISHA,JHARSUGUDA,12,1
TRIPURA,DHALAI,12,1
"HIMACHAL PRADESH",MANDI,12,1
"JAMMU & KASHMIR",BUDGAM,12,1
MEGHALAYA,"KHASI HILLS WEST",12,1
ODISHA,ROURKELA,12,1
PUNJAB,G.R.P,12,1
PUNJAB,ROPAR,12,1
RAJASTHAN,RAJSAMAND,12,1
CHANDIGARH,CHANDIGARH,12,1
CHANDIGARH,TOTAL,12,1
ASSAM,CHIRANG,12,1
BIHAR,"MUZAFFARPUR RLY.",12,1
"JAMMU & KASHMIR",HANDWARA,12,1
KARNATAKA,UDUPI,12,1
KERALA,KASARGOD,12,1
"UTTAR PRADESH",SIDHARTHNAGAR,12,1
"DAMAN & DIU",DAMAN,12,1
"DAMAN & DIU",TOTAL,12,1
"JAMMU & KASHMIR",KUPWARA,12,1
KERALA,WAYANADU,12,1
NAGALAND,MON,12,1
ODISHA,BERHAMPUR,12,1
"UTTAR PRADESH","SANT KABIRNAGAR",12,1
UTTARAKHAND,ALMORA,12,1
ASSAM,HAILAKANDI,12,1
"JAMMU & KASHMIR",SHOPIAN,12,1
KERALA,"ERNAKULAM COMMR.",12,1
KERALA,"TRIVANDRUM COMMR.",12,1
"MADHYA PRADESH",HARDA,12,1
"TAMIL NADU",PERAMBALUR,12,1
"UTTAR PRADESH",SHRAWASTI,12,1
"JAMMU & KASHMIR",POONCH,12,1
MANIPUR,CHURACHANDPUR,12,1
MEGHALAYA,RI-BHOI,12,1
ODISHA,NUAPADA,12,1
"DELHI UT",GRP(RLY),12,1
"ARUNACHAL PRADESH",LOHIT,12,1
"JAMMU & KASHMIR",SRINAGAR,12,1
KERALA,"KOZHIKODE RURAL",12,1
MAHARASHTRA,SINDHUDURG,12,1
PUNJAB,PATHANKOT,12,1
CHHATTISGARH,BEMETARA,12,1
CHHATTISGARH,NARAYANPUR,12,1
HARYANA,MEWAT,12,1
"MADHYA PRADESH",UMARIYA,12,1
RAJASTHAN,"JAIPUR NORTH",12,1
RAJASTHAN,"JODHPUR EAST",12,1
TRIPURA,KHOWAI,12,1
TRIPURA,SIPAHIJALA,12,1
"JAMMU & KASHMIR",GANDERBAL,11,1
PUNJAB,"SAS NGR",11,1
CHHATTISGARH,KABIRDHAM,11,1
"JAMMU & KASHMIR",RAMBAN,11,1
PUNJAB,G.R.P,11,1
"ARUNACHAL PRADESH","SIANG WEST",11,1
"HIMACHAL PRADESH",UNA,11,1
"JAMMU & KASHMIR",RAJOURI,11,1
MAHARASHTRA,SINDHUDURG,11,1
"UTTAR PRADESH","SANT KABIRNAGAR",11,1
GUJARAT,AHWA-DANG,11,1
GUJARAT,PATAN,11,1
"HIMACHAL PRADESH",HAMIRPUR,11,1
"HIMACHAL PRADESH",MANDI,11,1
MAHARASHTRA,"AMRAVATI COMMR.",11,1
MEGHALAYA,"KHASI HILLS WEST",11,1
ODISHA,BOUDH,11,1
"UTTAR PRADESH",LALITPUR,11,1
"ARUNACHAL PRADESH",TIRAP,11,1
MEGHALAYA,"GARO HILLS SOUTH",11,1
RAJASTHAN,JAISALMER,11,1
BIHAR,"PATNA RLY.",11,1
GUJARAT,TAPI,11,1
MANIPUR,TAMENGLONG,11,1
MEGHALAYA,RI-BHOI,11,1
NAGALAND,KOHIMA,11,1
PUNJAB,PATHANKOT,11,1
"TAMIL NADU",PERAMBALUR,11,1
TRIPURA,NORTH,11,1
"ARUNACHAL PRADESH",CHANGLANG,11,1
ASSAM,R.P.O.,11,1
"HIMACHAL PRADESH",SOLAN,11,1
RAJASTHAN,BARMER,11,1
"DELHI UT",G.R.P.(RLY),11,1
"DELHI UT","NEW DELHI",11,1
"HIMACHAL PRADESH",BILASPUR,11,1
NAGALAND,MOKOKCHUNG,11,1
"WEST BENGAL",ASANSOL,11,1
CHHATTISGARH,NARAYANPUR,11,1
HARYANA,PANCHKULA,11,1
PUNJAB,"FATEHGARH SAHIB",11,1
"WEST BENGAL","HOWRAH G.R.P.",11,1
ASSAM,N.C.HILLS,11,1
BIHAR,"KATIHAR RLY.",11,1
BIHAR,SHEOHAR,11,1
CHHATTISGARH,DHAMTARI,11,1
KERALA,"KOZHIKODE COMMR.",11,1
MEGHALAYA,"GARO HILLS WEST",11,1
UTTARAKHAND,"RUDRA PRAYAG",11,1
NAGALAND,PEREN,11,1
RAJASTHAN,"KOTA CITY",11,1
"UTTAR PRADESH",SHRAWASTI,11,1
"TAMIL NADU",PERAMBALUR,10,1
UTTARAKHAND,UTTARKASHI,10,1
BIHAR,SHEOHAR,10,1
MEGHALAYA,"GARO HILLS SOUTH",10,1
PUNJAB,BARNALA,10,1
"TAMIL NADU","CHENNAI RLY.",10,1
"ARUNACHAL PRADESH",CHANGLANG,10,1
"HIMACHAL PRADESH",MANDI,10,1
"MADHYA PRADESH",ANUPPUR,10,1
ODISHA,NUAPADA,10,1
"UTTAR PRADESH",SIDHARTHNAGAR,10,1
"ARUNACHAL PRADESH",LOHIT,10,1
"ARUNACHAL PRADESH","SUBANSIRI UPPER",10,1
"HIMACHAL PRADESH",SHIMLA,10,1
MAHARASHTRA,SINDHUDURG,10,1
MANIPUR,UKHRUL,10,1
NAGALAND,TUENSANG,10,1
UTTARAKHAND,ALMORA,10,1
ASSAM,R.P.O.,10,1
"HIMACHAL PRADESH",KULLU,10,1
KERALA,CBCID,10,1
KERALA,KASARGOD,10,1
MANIPUR,SENAPATI,10,1
NAGALAND,WOKHA,10,1
ODISHA,SONEPUR,10,1
"DELHI UT","NEW DELHI",10,1
"HIMACHAL PRADESH",HAMIRPUR,10,1
SIKKIM,EAST,10,1
UTTARAKHAND,PITHORAGARH,10,1
KERALA,"KOZHIKODE RURAL",10,1
MEGHALAYA,RI-BHOI,10,1
PUNJAB,"FATEHGARH SAHIB",10,1
PUNJAB,JAGRAON,10,1
PUNJAB,ROPAR,10,1
GUJARAT,W.RLY,10,1
"HIMACHAL PRADESH",CHAMBA,10,1
"JAMMU & KASHMIR",ANANTNAG,10,1
"WEST BENGAL","SEALDAH G.R.P.",10,1
"HIMACHAL PRADESH",BADDIPOLICEDIST,10,1
"JAMMU & KASHMIR",KUPWARA,10,1
BIHAR,"PATNA RLY.",10,1
GOA,"SOUTH GOA",10,1
"JAMMU & KASHMIR",BARAMULLA,10,1
"JAMMU & KASHMIR",HANDWARA,10,1
MAHARASHTRA,"NAGPUR RLY.",10,1
ODISHA,GAJAPATI,10,1
"DELHI UT",GRP(RLY),10,1
KERALA,WAYANADU,10,1
MAHARASHTRA,RATNAGIRI,10,1
MANIPUR,BISHNUPUR,10,1
MANIPUR,"IMPHAL EAST",10,1
NAGALAND,ZUNHEBOTO,10,1
"UTTAR PRADESH",ST.RAVIDASNAGAR,10,1
"JAMMU & KASHMIR",ANANTNAG,9,1
KERALA,"KOZHIKODE COMMR.",9,1
MIZORAM,KOLASIB,9,1
NAGALAND,MON,9,1
"ARUNACHAL PRADESH","SIANG EAST",9,1
"MADHYA PRADESH",SHEOPUR,9,1
PUNJAB,ROPAR,9,1
BIHAR,"KATIHAR RLY.",9,1
"HIMACHAL PRADESH",MANDI,9,1
RAJASTHAN,G.R.P.,9,1
"UTTAR PRADESH",ST.RAVIDASNAGAR,9,1
UTTARAKHAND,ALMORA,9,1
"DELHI UT",GRP(RLY),9,1
"ARUNACHAL PRADESH","SIANG WEST",9,1
"HIMACHAL PRADESH",BADDIPOLICEDIST,9,1
"HIMACHAL PRADESH",UNA,9,1
"JAMMU & KASHMIR",KISHTWAR,9,1
"A & N ISLANDS",TOTAL,9,1
"ANDHRA PRADESH","GUNTAKAL RLY.",9,1
"JAMMU & KASHMIR",KUPWARA,9,1
MANIPUR,THOUBAL,9,1
"ARUNACHAL PRADESH","KAMENG EAST",9,1
ASSAM,HAMREN,9,1
KERALA,"THRISSUR COMMR.",9,1
TRIPURA,UNAKOTI,9,1
UTTARAKHAND,"PAURI GARHWAL",9,1
CHHATTISGARH,BIZAPUR,9,1
"WEST BENGAL",ASANSOL,9,1
MANIPUR,CHANDEL,9,1
NAGALAND,ZUNHEBOTO,9,1
UTTARAKHAND,"RUDRA PRAYAG",9,1
"ARUNACHAL PRADESH","PAPUM PARE",9,1
BIHAR,"JAMALPUR RLY.",9,1
GUJARAT,W.RLY,9,1
JHARKHAND,"DHANBAD RLY.",9,1
MAHARASHTRA,"MUMBAI RLY.",9,1
ODISHA,GAJAPATI,9,1
UTTARAKHAND,"TEHRI GARHWAL",9,1
"HIMACHAL PRADESH",HAMIRPUR,9,1
"JAMMU & KASHMIR",UDHAMPUR,9,1
HARYANA,PANCHKULA,9,1
MAHARASHTRA,"NAGPUR RLY.",9,1
